Year,FDI_pct_GDP,Inflation,Deposit_Rate,Lending_Rate,Real_Interest,Export_pct_GDP,Real_GDP
1995,8.58596585460392,,,,,32.8128553339566,66835362482.4846
1996,9.71308063712156,5.67499999999994,,20.1,10.4908666421004,40.8684874244585,73077797034.1306
1997,8.2700967582097,3.20952606261374,8.5125,14.4166666666667,7.33532106237832,43.1027067530124,79035160538.4626
1998,6.14121440264586,7.2661980440096,9.23,14.4,5.11047870740324,44.8483033762953,83591107164.2471
1999,4.92266345680124,4.11710235771736,7.3725,12.7,6.58752234054448,49.9662459731661,87581401291.5701
2000,4.16392407955693,-1.71033727851109,3.65333333333333,10.55,6.9057666506376,53.9214970089166,93525828108.839
2001,3.97733545270572,-0.43154451172818,5.30416666666667,9.42,6.62403546630217,55.0619332820827,99317782863.096
2002,3.99268705133996,3.83082838168467,6.4475,9.06166666666667,4.16693712269503,54.7391336880928,105595482130.707
2003,3.66601229989583,3.23464817293927,6.62166666666667,9.48,2.21305791691824,56.6732579147533,112880581486.059
2004,3.54408107288199,7.75494748709601,6.17125,9.7225,1.18892233628232,59.7310414143857,121387725604.567
2005,3.39040363930871,8.28457243128677,7.145,11.025,-6.55288740331808,63.6994926701393,130549157968.493
2006,3.61600090432522,7.41801715108463,7.63,11.17625,2.40151725937125,67.7168143260187,139658819217.11
2007,8.65471771434805,8.34444889773837,7.4925,11.18,1.41363787147666,70.517874602272,149615800998.365
2008,9.6630390545572,23.1154483474477,12.7304166666667,15.7835714285714,-5.6163352886234,70.3366919402715,158086705343.275
2009,7.16881988884276,6.71698269988629,7.91,10.069,3.62788141186044,62.6088840664865,166620063722.291
2010,5.4347392933443,9.20746648778413,11.19375,13.13525,-20.4970819101768,54.1758459668515,177322478338.404
2011,4.30487434902161,18.6777322770707,13.9935,16.9538333333333,-3.67326480415152,61.1801557211956,188694468366.268
2012,4.27832287681174,9.09470339557192,10.5036666666667,13.4716666666667,4.02832802666538,63.4739249038633,199081239731.688
2013,4.16454517277325,6.59267475899192,7.14,10.3741666666667,6.08970870368918,66.8004459919109,210137237901.389
2014,3.94086189051961,4.08455446637617,5.7575,8.665,4.78973116512498,69.5985759502054,223632762207.56
2015,4.93190773329022,0.631200905175754,4.7475,7.1175,8.98829687567201,72.9228518369495,239258328381.741
2016,4.90089302916746,2.66824816969082,5.035,6.96,5.04860292807267,74.1072862556183,255264731908.124
2017,5.01148721749681,3.52025688811617,4.80916666666667,7.0675,2.59151415896465,81.7625218355655,272980590259.187
2018,4.99828319622328,3.53962805942641,4.73825,7.371875,3.61415504341763,84.4234560833365,293358610036.841
2019,4.821074861051,2.7958236745225,4.975,7.7075,5.15925265729481,85.1575874073411,314947640805.601
2020,4.55836196782424,3.22093436652514,4.12020833333333,7.6475,6.09064299683403,84.381598008957,323972192107.065
2021,4.27314566190187,1.83471554810444,3.375,7.811,4.79218047283212,93.8502071275575,332245562394.77
2022,4.32947308910883,3.15650749963129,3.8175,8.01333333333333,3.41861684479736,93.420129043511,360611028837.664
2023,4.26407109843686,3.25289282667662,4.781,9.323,7.08136836215213,86.4674192371297,378876063686.799
2024,4.23394171325231,3.62109273885843,,,,90.1542210476659,405742875627.919
