Year,GDP_Raw,Inflation,Interest_Rate,FDI_pct_GDP,Investment_pct_GDP,Export_pct_GDP,Unemployment_Rate,Gov_Spending_pct_GDP,GDP_Growth
1995,20.736,,,8.586,27.144,32.813,1.955,8.188,9.54
1996,24.657,5.675,20.1,9.713,28.103,40.868,1.93,8.353,9.34
1997,26.844,3.21,14.417,8.27,28.3,43.103,2.87,8.131,8.152
1998,27.21,7.266,14.4,6.141,29.05,44.848,2.29,7.624,5.764
1999,28.684,4.117,12.7,4.923,27.63,49.966,2.33,6.785,4.774
2000,31.173,-1.71,10.55,4.164,29.61,53.921,2.26,6.418,6.787
2001,32.685,-0.432,9.42,3.977,31.173,55.062,2.76,6.329,6.193
2002,35.064,3.831,9.062,3.993,33.221,54.739,2.12,6.232,6.321
2003,39.553,3.235,9.48,3.666,35.445,56.673,2.25,6.32,6.899
2004,45.428,7.755,9.722,3.544,35.465,59.731,2.14,6.391,7.536
2005,57.633,8.285,11.025,3.39,33.757,63.699,2.078,5.465,7.547
2006,66.372,7.418,11.176,3.616,34.537,67.717,2.046,5.533,6.978
2007,77.414,8.344,11.18,8.655,39.566,70.518,2.026,5.554,7.13
2008,99.13,23.115,15.784,9.663,36.493,70.337,1.889,5.625,5.662
2009,106.015,6.717,10.069,7.169,37.163,62.609,1.737,5.778,5.398
2010,147.201,9.207,13.135,5.435,37.099,54.176,1.114,10.383,6.423
2011,172.595,18.678,16.954,4.305,32.371,61.18,0.999,9.981,6.413
2012,195.591,9.095,13.472,4.278,30.559,63.474,1.027,10.445,5.505
2013,213.709,6.593,10.374,4.165,30.213,66.8,1.316,10.916,5.554
2014,233.451,4.085,8.665,3.941,30.289,69.599,1.256,10.317,6.422
2015,239.258,0.631,7.118,4.932,32.109,72.923,1.848,10.655,6.987
2016,257.096,2.668,6.96,4.901,31.725,74.107,1.848,10.398,6.69
2017,281.354,3.52,7.068,5.011,32.305,81.763,1.874,10.135,6.94
2018,310.106,3.54,7.372,4.998,32.02,84.423,1.161,9.746,7.465
2019,334.365,2.796,7.708,4.821,31.98,85.158,1.681,9.579,7.359
2020,346.616,3.221,7.648,4.558,31.916,84.382,2.103,9.479,2.865
2021,366.475,1.835,7.811,4.273,32.896,93.85,2.383,9.585,2.554
2022,413.445,3.157,8.013,4.329,32.34,93.42,1.57,8.819,8.538
2023,433.858,3.253,9.323,4.264,31.647,86.467,1.645,8.848,5.065
2024,476.388,3.621,,4.234,30.563,90.154,1.602,8.877,7.091
2025,,,,,,,1.523,,
