Year,GDP_Raw,Inflation,Interest_Rate,FDI_pct_GDP,Investment_pct_GDP,Export_pct_GDP,Unemployment_Rate,Gov_Spending_pct_GDP,GDP_Growth
1995-04-01,20.5,3.537,3.577,5.488,31.137,76.943,2.524,20.262,2.5
1995-07-01,21.0,3.825,3.471,5.075,31.661,78.188,2.686,19.803,2.439
1995-10-01,21.5,4.113,3.366,4.662,32.185,79.433,2.847,19.345,2.381
1996-01-01,22.0,4.401,3.26,4.249,32.71,80.678,3.008,18.886,2.326
1996-04-01,22.55,4.292,4.144,4.182,32.017,83.121,3.042,18.842,2.5
1996-07-01,23.1,4.183,5.028,4.116,31.324,85.564,3.075,18.797,2.439
1996-10-01,23.65,4.073,5.912,4.05,30.631,88.007,3.109,18.752,2.381
1997-01-01,24.2,3.964,6.796,3.983,29.938,90.45,3.142,18.708,2.326
1997-04-01,24.805,3.897,6.812,4.212,30.01,90.717,2.946,18.204,2.5
1997-07-01,25.41,3.831,6.829,4.441,30.083,90.984,2.749,17.7,2.439
1997-10-01,26.015,3.764,6.846,4.67,30.155,91.251,2.553,17.197,2.381
1998-01-01,26.62,3.697,6.863,4.899,30.227,91.518,2.356,16.693,2.326
1998-04-01,27.286,3.476,6.705,4.548,29.989,86.182,2.54,16.433,2.5
1998-07-01,27.951,3.255,6.548,4.196,29.751,80.846,2.724,16.172,2.439
1998-10-01,28.617,3.033,6.391,3.845,29.513,75.51,2.908,15.912,2.381
1999-01-01,29.282,2.812,6.234,3.493,29.275,70.174,3.092,15.652,2.326
1999-04-01,30.014,2.812,5.73,4.072,28.27,73.323,2.957,17.059,2.5
1999-07-01,30.746,2.812,5.226,4.65,27.265,76.471,2.822,18.466,2.439
1999-10-01,31.478,2.812,4.722,5.229,26.259,79.62,2.687,19.873,2.381
2000-01-01,32.21,2.812,4.218,5.808,25.254,82.769,2.552,21.281,2.326
2000-04-01,33.015,2.763,4.012,5.171,25.46,82.185,2.651,21.286,2.5
2000-07-01,33.821,2.714,3.805,4.534,25.667,81.602,2.75,21.292,2.439
2000-10-01,34.626,2.665,3.598,3.898,25.873,81.019,2.849,21.297,2.381
2001-01-01,35.431,2.616,3.391,3.261,26.079,80.435,2.948,21.303,2.326
2001-04-01,36.317,3.02,3.977,4.059,25.888,79.215,2.949,20.835,2.5
2001-07-01,37.203,3.424,4.564,4.858,25.697,77.994,2.949,20.367,2.439
2001-10-01,38.089,3.828,5.15,5.656,25.505,76.773,2.95,19.9,2.381
2002-01-01,38.974,4.232,5.737,6.454,25.314,75.553,2.95,19.432,2.326
2002-04-01,39.949,4.1,5.493,6.266,26.827,74.914,2.914,18.917,2.5
2002-07-01,40.923,3.967,5.249,6.078,28.339,74.275,2.877,18.402,2.439
2002-10-01,41.897,3.835,5.005,5.891,29.852,73.636,2.84,17.888,2.381
2003-01-01,42.872,3.702,4.761,5.703,31.364,72.997,2.804,17.373,2.326
2003-04-01,43.944,3.756,4.442,5.201,30.559,74.358,2.637,17.391,2.5
2003-07-01,45.015,3.809,4.124,4.699,29.754,75.719,2.47,17.409,2.439
2003-10-01,46.087,3.863,3.806,4.197,28.949,77.079,2.302,17.427,2.381
2004-01-01,47.159,3.916,3.488,3.696,28.144,78.44,2.135,17.444,2.326
2004-04-01,48.338,3.572,3.861,3.526,28.629,82.223,2.415,18.104,2.5
2004-07-01,49.517,3.229,4.234,3.357,29.115,86.007,2.694,18.763,2.439
2004-10-01,50.696,2.885,4.608,3.188,29.6,89.79,2.974,19.422,2.381
2005-01-01,51.875,2.541,4.981,3.019,30.086,93.573,3.253,20.082,2.326
2005-04-01,53.172,3.016,4.52,3.728,31.083,89.7,3.06,20.381,2.5
2005-07-01,54.469,3.49,4.059,4.437,32.081,85.826,2.867,20.681,2.439
2005-10-01,55.765,3.965,3.598,5.145,33.078,81.953,2.674,20.98,2.381
2006-01-01,57.062,4.44,3.138,5.854,34.076,78.08,2.481,21.28,2.326
2006-04-01,58.489,4.371,4.012,5.759,32.43,79.302,2.431,21.262,2.5
2006-07-01,59.915,4.302,4.887,5.664,30.784,80.525,2.38,21.245,2.439
2006-10-01,61.342,4.234,5.762,5.569,29.139,81.747,2.33,21.227,2.381
2007-01-01,62.769,4.165,6.637,5.474,27.493,82.97,2.28,21.21,2.326
2007-04-01,64.338,3.855,5.987,5.493,27.896,84.121,2.225,21.022,2.5
2007-07-01,65.907,3.545,5.336,5.513,28.298,85.273,2.17,20.834,2.439
2007-10-01,67.476,3.235,4.686,5.532,28.701,86.424,2.116,20.647,2.381
2008-01-01,69.045,2.925,4.035,5.552,29.104,87.575,2.061,20.459,2.326
2008-04-01,70.772,2.909,4.439,5.589,29.967,85.454,2.267,20.218,2.5
2008-07-01,72.498,2.894,4.843,5.625,30.83,83.333,2.474,19.977,2.439
2008-10-01,74.224,2.879,5.246,5.662,31.693,81.212,2.68,19.735,2.381
2009-01-01,75.95,2.864,5.65,5.699,32.556,79.091,2.886,19.494,2.326
2009-04-01,77.849,2.864,5.299,5.089,31.239,82.892,2.919,18.518,2.5
2009-07-01,79.747,2.865,4.948,4.479,29.922,86.693,2.951,17.542,2.439
2009-10-01,81.646,2.866,4.598,3.869,28.605,90.494,2.984,16.565,2.381
2010-01-01,83.545,2.867,4.247,3.259,27.288,94.295,3.016,15.589,2.326
2010-04-01,85.634,2.927,4.455,3.508,26.908,94.236,2.768,15.725,2.5
2010-07-01,87.722,2.988,4.664,3.757,26.529,94.178,2.521,15.86,2.439
2010-10-01,89.811,3.048,4.872,4.006,26.149,94.12,2.273,15.996,2.381
2011-01-01,91.899,3.108,5.08,4.255,25.77,94.061,2.025,16.131,2.326
2011-04-01,94.197,3.219,5.107,4.042,26.302,89.62,2.211,17.421,2.5
2011-07-01,96.494,3.329,5.134,3.83,26.834,85.178,2.397,18.711,2.439
2011-10-01,98.792,3.439,5.16,3.618,27.366,80.736,2.582,20.0,2.381
2012-01-01,101.089,3.55,5.187,3.406,27.898,76.295,2.768,21.29,2.326
