,GDP_Raw,Inflation,Interest_Rate,FDI_pct_GDP,Investment_pct_GDP,Export_pct_GDP,Unemployment_Rate,Gov_Spending_pct_GDP,GDP_Growth,log_GDP,GDP_qoq_pct_recalc,GDP_yoy_pct_recalc,Inflation_lag1,Inflation_lag2,Interest_Rate_lag1,Interest_Rate_lag2,log_GDP_diff1,log_GDP_diff4,Inflation_scaled,Interest_Rate_scaled,FDI_pct_GDP_scaled,Investment_pct_GDP_scaled,Export_pct_GDP_scaled,Unemployment_Rate_scaled,Gov_Spending_pct_GDP_scaled
1995-04-01,20.5,3.537,3.577,5.488,31.137,76.943,2.524,20.262,2.5,3.0204248861443626,,,,,,,,,0.3263349843651719,-1.260364473764154,0.9237850826244186,0.45866361335246786,-0.7490015827131993,-0.5588483436749966,1.0114684864507542
1995-07-01,21.0,3.825,3.471,5.075,31.661,78.188,2.686,19.803,2.439,3.044522437723423,2.4390243902439046,,3.537,,3.577,,0.02409755157906046,,0.9524459630838928,-1.3566286511766676,0.43793841855911037,0.6631138172131228,-0.5445208822261178,-0.05236760702968514,0.7568237522692063
1995-10-01,21.5,4.113,3.366,4.662,32.185,79.433,2.847,19.345,2.381,3.068052935133617,2.3809523809523725,,3.825,3.537,3.471,3.577,0.023530497410193973,,1.5785569418026137,-1.4519846759720823,-0.047908245506197884,0.8675640210737778,-0.34004018173903644,0.45098670531534696,0.5027337996436082
1996-01-01,22.0,4.401,3.26,4.249,32.71,80.678,3.008,18.886,2.326,3.091042453358316,2.3255813953488413,,4.113,3.825,3.366,3.471,0.02298951822469908,,2.204667920521333,-1.5482488533845964,-0.5337549095715062,1.072404397079204,-0.1355594812519574,0.954341017660379,0.24808906546206036
1996-04-01,22.55,4.292,4.144,4.182,32.017,83.121,3.042,18.842,2.5,3.1157350659486873,2.5000000000000133,10.000000000000009,4.401,4.113,3.26,3.366,0.024692612590371255,0.09531017980432477,1.9677023070479283,-0.7454419398689152,-0.6125726492624874,0.8020151007520415,0.26568256797690815,1.0606394438698883,0.22367867700021235
1996-07-01,23.1,4.183,5.028,4.116,31.324,85.564,3.075,18.797,2.439,3.139832617527748,2.4390243902439046,10.000000000000009,4.292,4.401,4.144,3.26,0.02409755157906046,0.09531017980432477,1.7307366935745236,0.05736497364676521,-0.6902140047789782,0.5316258044248775,0.6669246172057737,1.1638114457791195,0.19871350698241455
1996-10-01,23.65,4.073,5.912,4.05,30.631,88.007,3.109,18.752,2.381,3.1633631149379418,2.3809523809523725,9.999999999999986,4.183,4.292,5.028,4.144,0.023530497410193973,0.09531017980432477,1.4915970836472359,0.8601718871624464,-0.767855360295468,0.2612365080977135,1.0681666664346414,1.2701098719886288,0.17374833696461478
1997-01-01,24.2,3.964,6.796,3.983,29.938,90.45,3.142,18.708,2.326,3.186352633162641,2.3255813953488413,9.999999999999986,4.073,4.183,5.912,5.028,0.02298951822469908,0.09531017980432477,1.2546314701738304,1.6629788006781274,-0.8466730999864498,-0.00915278822945049,1.469408715663507,1.3732818738978587,0.14933794850276677
1997-04-01,24.805,3.897,6.812,4.212,30.01,90.717,2.946,18.204,2.5,3.211045245753012,2.499999999999991,9.999999999999986,3.964,4.073,6.796,5.912,0.024692612590371255,0.09531017980432477,1.1089737077635722,1.6775092425517146,-0.5772811240277201,0.01893960619415197,1.513261203237844,0.7605027110430381,-0.13027195569657893
1997-07-01,25.41,3.831,6.829,4.441,30.083,90.984,2.749,17.7,2.439,3.2351427973320726,2.4390243902439046,9.999999999999986,3.897,3.964,6.812,6.796,0.02409755157906046,0.09531017980432477,0.965489941807199,1.6929478370424003,-0.3078891480689899,0.04742217276252438,1.5571136908121812,0.1445971238879366,-0.40988185989592657
1997-10-01,26.015,3.764,6.846,4.67,30.155,91.251,2.553,17.197,2.381,3.258673294742267,2.3809523809523725,10.000000000000009,3.831,3.897,6.829,6.812,0.023530497410194418,0.09531017980432521,0.8198321793969409,1.7083864315330868,-0.03849717211025971,0.07551456718612684,1.6009661783865206,-0.46818203896688554,-0.6889369825393225
1998-01-01,26.62,3.697,6.863,4.899,30.227,91.518,2.356,16.693,2.326,3.2816628129669656,2.3255813953488413,10.000000000000009,3.764,3.831,6.846,6.829,0.022989518224698635,0.09531017980432477,0.6741744169866836,1.723825026023773,0.2308948038484705,0.10360696160972792,1.6448186659608577,-1.084087626121987,-0.9685468867386682
1998-04-01,27.286,3.476,6.705,4.548,29.989,86.182,2.54,16.433,2.5,3.3063737501406822,2.501878287002257,10.002015722636571,3.697,3.764,6.863,6.846,0.02471093717371664,0.09532850438767015,0.19372120067822082,1.5803369125221014,-0.18201604139831665,0.010745991153934587,0.7684258805800851,-0.5088255548705213,-1.1127900912859512
1998-07-01,27.951,3.255,6.548,4.196,29.751,80.846,2.724,16.172,2.439,3.3304529771363978,2.4371472550025697,10.000000000000009,3.476,3.697,6.705,6.863,0.02407922699571552,0.09531017980432521,-0.2867320156302419,1.437756951637529,-0.5961032708195965,-0.08211497930185875,-0.10796690480068764,0.06643651638094433,-1.2575880773891839
1998-10-01,28.617,3.033,6.391,3.845,29.513,75.51,2.908,15.912,2.381,3.3540009468311807,2.3827412257164227,10.001921968095328,3.255,3.476,6.548,6.705,0.0235479696947829,0.0953276520889137,-0.7693592283925889,1.2951769907529567,-1.009014116066383,-0.17497594975765207,-0.9843596901814603,0.6416985876324086,-1.401831281936466
1999-01-01,29.282,2.812,6.234,3.493,29.275,70.174,3.092,15.652,2.326,3.3769729927712904,2.3237935492888884,9.999999999999986,3.033,3.255,6.391,6.548,0.02297204594010971,0.09531017980432477,-1.2498124447010515,1.1525970298683845,-1.4231013454876629,-0.2678369202134468,-1.860752475562233,1.2169606588838742,-1.546074486483749
1999-04-01,30.014,2.812,5.73,4.072,28.27,73.323,2.957,17.059,2.5,3.401663939473798,2.499829246636165,9.99780107014585,2.812,3.033,6.234,6.391,0.0246909467025076,0.09529018933311573,-1.2498124447010515,0.6948881108503949,-0.7419749084566377,-0.6599599257095492,-1.3435559086274425,0.7948933783461137,-0.7654968372605712
1999-07-01,30.746,2.812,5.226,4.65,27.265,76.471,2.822,18.466,2.439,3.4257599044904077,2.4388618644632487,9.99964223104719,2.812,2.812,5.73,6.234,0.02409596501660971,0.09530692735400992,-1.2498124447010515,0.2371791918324045,-0.06202485560010463,-1.0520829312056517,-0.8265235832191438,0.3728260978083547,0.015080811962605637
1999-10-01,31.478,2.812,4.722,5.229,26.259,79.62,2.687,19.873,2.381,3.4492888891294093,2.380797502114107,9.997553901527056,2.812,2.812,5.226,5.73,0.02352898463900166,0.09528794229822868,-1.2498124447010515,-0.22052972718558508,0.6191015814309201,-1.444596108846527,-0.30932701628435083,-0.04924118272940578,0.7956584611857824
2000-01-01,32.21,2.812,4.218,5.808,25.254,82.769,2.552,21.281,2.326,3.4722769633431074,2.325433636190355,9.999316986544638,2.812,2.812,4.722,5.226,0.022988074213698084,0.09530397057181705,-1.2498124447010515,-0.6782386462035754,1.3002280184619448,-1.8367191143426294,0.20786955065044205,-0.47130846326716486,1.576790891964909
2000-04-01,33.015,2.763,4.012,5.171,25.46,82.185,2.651,21.286,2.5,3.4969620036465345,2.4992238435268543,9.99866728859866,2.812,2.812,4.218,4.722,0.024685040303427108,0.09529806417273656,-1.3563382709413894,-0.8653180853260083,0.5508712993103685,-1.7563436525195477,0.1119524991769836,-0.16179245753947516,1.5795647997446658
2000-07-01,33.821,2.714,3.805,4.534,25.667,81.602,2.75,21.292,2.439,3.52108191133608,2.4413145539905923,10.00130098224159,2.763,2.812,4.012,4.218,0.024119907689545528,0.09532200684567238,-1.462864097181727,-1.0533056770655393,-0.1984854198412087,-1.6755780185516935,0.01619968923002161,0.14772354818821595,1.5828934890803725
2000-10-01,34.626,2.665,3.598,3.898,25.873,81.019,2.849,21.297,2.381,3.544604844956884,2.3801779959196967,10.000635364381449,2.714,2.763,3.805,4.012,0.023522933620804043,0.09531595582747476,-1.5693899234220647,-1.2412932688050713,-0.9466657548182927,-1.5952025567286119,-0.07955312071694039,0.4572395539159071,1.5856673968601274
2001-01-01,35.431,2.616,3.391,3.261,26.079,80.435,2.948,21.303,2.326,3.567587143147432,2.324842603823707,9.999999999999986,2.665,2.714,3.598,3.805,0.02298229819054809,0.09531017980432477,-1.6759157496624024,-1.4292808605446026,-1.6960224739698695,-1.5148270949055302,-0.17547017219039882,0.7667555596435968,1.588996086195834
2001-04-01,36.317,3.02,3.977,4.059,25.888,79.215,2.949,20.835,2.5,3.592285951202655,2.500635037114396,10.00151446312283,2.616,2.665,3.391,3.598,0.02469880805522262,0.09532394755612028,-0.7976211822930864,-0.8971034269244795,-0.7572679027250371,-1.589349974557028,-0.3758448345150881,0.7698819839438762,1.3293583180107262
2001-07-01,37.203,3.424,4.564,4.858,25.697,77.994,2.949,20.367,2.439,3.616389403188745,2.439628823966755,9.999704325714799,3.02,2.616,3.977,3.391,0.024103451986090096,0.09530749185266485,0.08067338507622954,-0.3640178406872569,0.18266305269428693,-1.663872854208527,-0.5763837383662738,0.7698819839438762,1.0697205498256184
2001-10-01,38.089,3.828,5.15,5.656,25.505,76.773,2.95,19.9,2.381,3.6399255265360093,2.3815283713678914,10.001155201293832,3.424,3.02,4.564,3.977,0.023536123347264404,0.09532068157912521,0.9589679524455454,0.16815959293286667,1.1214176239391194,-1.7387859060047977,-0.7769226422174595,0.7730084082441568,0.8106375631964603
2002-01-01,38.974,4.232,5.737,6.454,25.314,75.553,2.95,19.432,2.326,3.6628947571419426,2.323505474021359,9.9997177612825,3.828,3.424,5.15,4.564,0.022969230605933255,0.09530761399451038,1.8372625198148624,0.7012451791700889,2.060172195183952,-1.8133087856562953,-0.9772973045421488,0.7730084082441568,0.5509997950113525
2002-04-01,39.949,4.1,5.493,6.266,26.827,74.914,2.914,18.917,2.5,3.6876036406098844,2.5016677785190122,10.000826059421208,4.232,3.828,5.737,5.15,0.024708883467941867,0.09531768940722962,1.5502949879021144,0.4796559405978876,1.839011970379405,-1.222978330615893,-1.0822476399728667,0.6604571334340875,0.2652872936965453
2002-07-01,40.923,3.967,5.249,6.078,28.339,74.275,2.877,18.402,2.439,3.711692252179093,2.438108588450283,9.999193613418278,4.1,4.232,5.493,5.737,0.024088611569208496,0.09530284899034802,1.261153459535484,0.2580667020256855,1.6178517455748584,-0.633038047720265,-1.1871979754035844,0.5447794343237374,-0.020425207618263844
2002-10-01,41.897,3.835,5.005,5.891,29.852,73.636,2.84,17.888,2.381,3.735214225319412,2.380079661803869,9.997637113077262,3.967,4.1,5.249,5.493,0.02352197314031912,0.09528869878340274,0.9741859276227369,0.03647746345348421,1.3978679049448035,-0.042707592679862696,-1.2921483108343046,0.4291017352133887,-0.3055829273771212
2003-01-01,42.872,3.702,4.761,5.703,31.364,72.997,2.804,17.373,2.326,3.758218932192549,2.327135594433982,10.00153948786371,3.835,3.967,5.005,5.249,0.02300470687313716,0.09532417505060664,0.6850443992561055,-0.1851117751187171,1.1767076801402567,0.5472326902157668,-1.3970986462650223,0.3165504604033193,-0.5912954286919304
2003-04-01,43.944,3.756,4.442,5.201,30.559,74.358,2.637,17.391,2.5,3.7829160960403194,2.5004665049449537,10.000250319156944,3.702,3.835,4.761,5.005,0.02469716384777021,0.09531245543043498,0.8024402077658652,-0.4748124599733575,0.5861628245451359,0.23314411367411242,-1.173565928704446,-0.20556239774339033,-0.5813093606848124
2003-07-01,45.015,3.809,4.124,4.699,29.754,75.719,2.47,17.409,2.439,3.8069957675604402,2.4371927908246827,9.99926691591526,3.756,3.702,4.442,4.761,0.024079671520120804,0.09530351538134729,0.9176620198217417,-0.7636049922108993,-0.004382031049983946,-0.08094446286754198,-0.950033211143872,-0.7276752558901,-0.5713232926776926
2003-10-01,46.087,3.863,3.806,4.197,28.949,77.079,2.302,17.427,2.381,3.8305309145727446,2.3814284127513075,10.000716041721368,3.809,3.756,4.124,4.442,0.023535147012304414,0.09531668925333259,1.0350578283315015,-1.0523975244484403,-0.5949268866451037,-0.3950330394091964,-0.7266647351097919,-1.2529145383370903,-0.5613372246705727
2004-01-01,47.159,3.916,3.488,3.696,28.144,78.44,2.135,17.444,2.326,3.853524871033836,2.3260355414759015,9.999533495055047,3.863,3.809,3.806,4.124,0.02299395646109126,0.09530593884128669,1.150279640387377,-1.3411900566859816,-1.1842953580657314,-0.7091216159508522,-0.5031320175492155,-1.7750273964838015,-0.5519059382194045
