quarter,topic,n_comments,n_unique_authors,like_sum,like_mean,avg_sentiment,median_sentiment,std_sentiment,positive_ratio,negative_ratio,neutral_ratio,net_sentiment,weighted_sentiment_like,p10_sentiment,p90_sentiment,was_missing_period,quarter_end
2019Q3,all,3758.0,2566.0,11827.0,3.147152740819585,0.02955941990420436,0.0,0.19927186892105125,0.09047365620010644,0.03565726450239489,0.8738690792974987,0.054816391697711554,0.026494116137311518,0.0,0.0,0,2019-09-30
2019Q4,all,352.0,291.0,339.0,0.9630681818181818,0.021813920454545454,0.0,0.19531327835110382,0.07954545454545454,0.03977272727272727,0.8806818181818182,0.03977272727272727,0.023530246020260492,0.0,0.0,0,2019-12-31
2020Q1,all,250.0,218.0,223.0,0.892,0.003763199999999998,0.0,0.16952225951669764,0.056,0.044,0.9,0.012000000000000004,0.032254334038054965,0.0,0.0,0,2020-03-31
2020Q2,all,109.0,97.0,51.0,0.46788990825688076,0.05516146788990826,0.0,0.21881171506497815,0.11009174311926606,0.01834862385321101,0.8715596330275229,0.09174311926605505,0.085140625,0.0,0.296,0,2020-06-30
2020Q3,all,162.0,135.0,47.0,0.29012345679012347,0.03682283950617284,0.0,0.1845839452096368,0.08024691358024691,0.018518518518518517,0.9012345679012346,0.06172839506172839,0.03455885167464114,0.0,0.0,0,2020-09-30
2020Q4,all,89.0,77.0,16.0,0.1797752808988764,0.05762921348314606,0.0,0.21212132045463938,0.0898876404494382,0.011235955056179775,0.898876404494382,0.07865168539325842,0.037571428571428575,0.0,0.0,0,2020-12-31
2021Q1,all,14.0,11.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-03-31
2021Q2,all,27.0,24.0,1.0,0.037037037037037035,-0.008888888888888892,0.0,0.21911799830111445,0.1111111111111111,0.07407407407407407,0.8148148148148148,0.037037037037037035,-0.008571428571428575,0.0,0.030880000000000168,0,2021-06-30
2021Q3,all,9.0,8.0,0.0,0.0,0.032888888888888884,0.0,0.09866666666666665,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.032888888888888884,0.0,0.05920000000000005,0,2021-09-30
2021Q4,all,10.0,8.0,0.0,0.0,0.13628,0.0,0.3158003511362484,0.2,0.0,0.8,0.2,0.13628,0.0,0.4589199999999998,0,2021-12-31
2022Q1,all,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-03-31
2022Q2,all,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-06-30
2022Q3,all,11.0,8.0,2.0,0.18181818181818182,0.0011727272727272728,0.0,0.003889496345053151,0.0,0.0,1.0,0.0,0.0009923076923076923,0.0,0.0,0,2022-09-30
2022Q4,all,13.0,11.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-12-31
